Date,Open,High,Low,Close,Adj Close,Volume
2022-08-30,2377.850098,2452.149902,2375.000000,2446.399902,2446.399902,3085257
2022-09-01,2409.250000,2436.699951,2393.699951,2404.199951,2404.199951,3005743
2022-09-02,2405.000000,2449.800049,2381.000000,2444.350098,2444.350098,3661775
2022-09-05,2454.899902,2464.500000,2439.500000,2456.250000,2456.250000,1772185
2022-09-06,2461.000000,2472.649902,2442.100098,2448.500000,2448.500000,2551663
2022-09-07,2422.000000,2441.800049,2416.000000,2427.800049,2427.800049,1176941
2022-09-08,2445.149902,2454.000000,2428.000000,2449.649902,2449.649902,1936503
2022-09-09,2465.000000,2468.449951,2425.899902,2431.500000,2431.500000,3243775
2022-09-12,2430.000000,2436.850098,2414.100098,2419.000000,2419.000000,3178742
2022-09-13,2434.949951,2457.000000,2429.500000,2451.500000,2451.500000,2197258
2022-09-14,2398.000000,2478.399902,2398.000000,2453.350098,2453.350098,3924096
2022-09-15,2465.649902,2479.899902,2437.000000,2459.399902,2459.399902,3028030
2022-09-16,2433.250000,2444.550049,2393.399902,2404.100098,2404.100098,6397528
2022-09-19,2409.000000,2449.800049,2392.750000,2441.399902,2441.399902,2990194
2022-09-20,2462.100098,2493.949951,2452.000000,2486.250000,2486.250000,3195080
2022-09-21,2470.000000,2486.399902,2440.000000,2459.850098,2459.850098,1864812
2022-09-22,2430.000000,2440.199951,2408.550049,2416.649902,2416.649902,3577005
2022-09-23,2389.250000,2400.899902,2340.899902,2353.250000,2353.250000,4075380
2022-09-26,2320.899902,2341.600098,2305.000000,2309.649902,2309.649902,2679719
2022-09-27,2311.000000,2323.899902,2281.000000,2289.149902,2289.149902,3437158
2022-09-28,2272.000000,2278.100098,2237.250000,2244.050049,2244.050049,2809685
2022-09-29,2260.500000,2273.449951,2231.000000,2237.500000,2237.500000,2787261
2022-09-30,2223.250000,2317.850098,2202.699951,2287.750000,2287.750000,4652604
2022-10-03,2278.000000,2289.000000,2258.050049,2283.050049,2283.050049,2499307
2022-10-04,2328.699951,2353.899902,2315.250000,2349.449951,2349.449951,2356681
2022-10-06,2350.000000,2358.800049,2310.000000,2316.100098,2316.100098,3642541
2022-10-07,2302.000000,2333.500000,2301.000000,2326.899902,2326.899902,1942133
2022-10-10,2295.000000,2316.399902,2264.550049,2298.500000,2298.500000,1774667
2022-10-11,2283.250000,2305.100098,2267.500000,2271.250000,2271.250000,2703737
2022-10-12,2275.199951,2309.449951,2271.000000,2301.750000,2301.750000,2115703
2022-10-13,2279.000000,2295.850098,2271.000000,2283.250000,2283.250000,3528425
2022-10-14,2305.000000,2359.000000,2305.000000,2343.500000,2343.500000,3867131
2022-10-17,2332.000000,2367.000000,2322.500000,2349.250000,2349.250000,3513903
2022-10-18,2355.500000,2366.699951,2322.050049,2331.649902,2331.649902,5434016
2022-10-19,2376.600098,2415.949951,2368.600098,2381.800049,2381.800049,4465058
2022-10-20,2351.600098,2374.899902,2347.100098,2369.199951,2369.199951,2393612
2022-10-21,2378.800049,2378.800049,2342.000000,2349.899902,2349.899902,3242255
2022-10-24,2387.350098,2400.000000,2387.350098,2393.000000,2393.000000,327385
2022-10-25,2385.100098,2401.000000,2352.750000,2356.699951,2356.699951,3731718
2022-10-27,2394.000000,2404.300049,2363.000000,2383.300049,2383.300049,3857960
2022-10-28,2383.699951,2420.250000,2379.300049,2400.449951,2400.449951,3234497
