,company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,stck_ann,next_day
343,Bajaj Finance Ltd.,2015-12-31 00:00:00,601.32,53632775,3,2015,20613.6,16611.6,4084.6,2016-02-03 00:00:00,0,,
344,Canara Bank,2015-12-31 00:00:00,227.27,542991054,3,2015,108820.7,119656.6,849.7,2016-02-13 00:00:00,0,,
345,State Bank Of India,2015-12-31 00:00:00,224.4,7762777042,3,2015,406440.4,456156.7,11153.4,2016-02-13 17:12:46,0,,
346,Max Financial Services Ltd.,2015-12-31 00:00:00,509.15,266973249,3,2015,1364.2,178.9,1273.7,2016-02-13 18:06:46,0,,
347,Bank Of Baroda,2015-12-31 00:00:00,156.75,2304159598,3,2015,106140.4,161873.6,-33420.4,2016-02-14 00:00:00,0,,
348,Housing Development Finance Corpn. Ltd.,2015-12-31 00:00:00,1262.65,1578733220,3,2015,72115.6,57596.6,15205.1,2016-02-14 17:06:12,0,,
349,H D F C Bank Ltd.,2015-12-31 00:00:00,541.38,2525086417,3,2015,154111.2,149264.7,33568.4,2016-02-14 17:06:12,0,,
350,L I C Housing Finance Ltd.,2016-03-31 00:00:00,490.4,504663000,4,2015,32464,28259.2,4480.2,2016-04-25 12:31:45,1,,
351,Housing Development Finance Corpn. Ltd.,2016-03-31 00:00:00,1105.55,1579846340,4,2015,76906.7,66186.7,26070.5,2016-04-29 11:48:33,0,,
352,H D F C Bank Ltd.,2016-03-31 00:00:00,535.6,2528186517,4,2015,159967.5,154883.9,33742.2,2016-04-29 11:48:33,0,,
353,Bank Of Baroda,2016-03-31 00:00:00,147.1,2304159598,4,2015,110143.8,170742.6,-32301.4,2016-05-16 00:00:00,0,,
354,Kotak Mahindra Bank Ltd.,2016-03-31 00:00:00,681,1834382158,4,2015,42654.1,42515.4,6957.8,2016-05-20 19:07:28,0,,
355,Bajaj Finserv Ltd.,2016-03-31 00:00:00,170.38,159131453,4,2015,825.2,173.6,674.8,2016-05-24 00:00:00,0,,
356,Bajaj Finance Ltd.,2016-03-31 00:00:00,692.92,53872190,4,2015,19162.3,16283.9,3150.4,2016-05-24 00:00:00,0,,
357,I C I C I Bank Ltd.,2016-03-31 00:00:00,215.05,5814768430,4,2015,134819.3,178889.7,7018.9,2016-05-24 20:24:39,0,,
358,Canara Bank,2016-03-31 00:00:00,184.66,542991054,4,2015,107329.1,168011.3,-39054.9,2016-05-29 00:00:00,0,,
359,State Bank Of India,2016-03-31 00:00:00,194.3,7973504442,4,2015,429417.7,525091.2,12638.1,2016-05-30 18:09:23,0,,
360,Max Financial Services Ltd.,2016-03-31 00:00:00,344.6,266983999,4,2015,129.4,369.3,-238.3,2016-05-30 18:40:29,0,,
361,L I C Housing Finance Ltd.,2016-06-30 00:00:00,494.7,504663000,1,2016,33596.9,29720.2,4078.4,2016-07-15 14:44:17,1,,
362,Bajaj Finserv Ltd.,2016-06-30 00:00:00,231.89,159131453,1,2016,406.3,266.5,166.6,2016-07-26 00:00:00,0,,
363,Bajaj Finance Ltd.,2016-06-30 00:00:00,798.91,53872190,1,2016,22801.7,18577.9,4239.9,2016-07-26 00:00:00,0,,
364,Canara Bank,2016-06-30 00:00:00,212.48,542991054,1,2016,102017,115574,2289.5,2016-07-27 00:00:00,0,,
365,H D F C Bank Ltd.,2016-06-30 00:00:00,587.95,2535052017,1,2016,165160.2,160837.2,32389.1,2016-07-27 18:40:17,0,,
366,Housing Development Finance Corpn. Ltd.,2016-06-30 00:00:00,1252.7,1582052040,1,2016,74606.6,65226,18707.3,2016-07-27 18:40:17,0,,
367,I C I C I Bank Ltd.,2016-06-30 00:00:00,218.36,5816921980,1,2016,133302.5,145271.6,22323.5,2016-08-02 12:20:50,0,,
368,Max Financial Services Ltd.,2016-06-30 00:00:00,533.5,267022899,1,2016,1317.3,247.8,1071.2,2016-08-11 16:49:25,0,,
369,State Bank Of India,2016-06-30 00:00:00,218.65,7973504442,1,2016,417185.2,464076.4,25209.6,2016-08-13 17:37:16,0,,
370,Kotak Mahindra Bank Ltd.,2016-06-30 00:00:00,763.1,1835574980,1,2016,43868.5,43780.6,7419.7,2016-08-26 11:10:22,0,,
371,Bank Of Baroda,2016-06-30 00:00:00,154,2304159598,1,2016,104335.2,114542.9,4236.2,2016-09-21 00:00:00,0,,
372,L I C Housing Finance Ltd.,2016-09-30 00:00:00,579.25,504663000,2,2016,34564.5,29951.5,4947.6,2016-10-22 17:10:54,1,,
373,Bajaj Finance Ltd.,2016-09-30 00:00:00,1056.6,538721900,2,2016,23355,19333.2,4077.6,2016-10-27 00:00:00,0,,
374,Bajaj Finserv Ltd.,2016-09-30 00:00:00,307.39,159131780,2,2016,666.9,287.5,406.9,2016-10-27 00:00:00,0,,
375,Canara Bank,2016-09-30 00:00:00,299.92,542991054,2,2016,104053.5,118302.1,3569.1,2016-10-27 00:00:00,0,,
376,Housing Development Finance Corpn. Ltd.,2016-09-30 00:00:00,1393.05,1583983690,2,2016,80632.1,62766.5,18265,2016-11-07 14:10:37,0,,
377,H D F C Bank Ltd.,2016-09-30 00:00:00,635.85,2545633717,2,2016,170699.4,165155.6,34553.3,2016-11-07 14:10:37,0,,
378,Max Financial Services Ltd.,2016-09-30 00:00:00,554.05,267034331,2,2016,129.6,268.7,-131.2,2016-11-09 19:49:24,0,,
379,State Bank Of India,2016-09-30 00:00:00,250.7,7973504442,2,2016,424815.5,482046.7,25383.2,2016-11-12 19:30:41,0,,
380,Kotak Mahindra Bank Ltd.,2016-09-30 00:00:00,778.75,1837288329,2,2016,44124.7,44302.9,8132.9,2016-11-15 12:13:01,0,,
381,I C I C I Bank Ltd.,2016-09-30 00:00:00,229.36,5818976105,2,2016,136394,196568.1,31022.7,2016-11-16 19:37:49,0,,
382,Bank Of Baroda,2016-09-30 00:00:00,167.3,2304159598,2,2016,104851.7,114944.8,5521.2,2016-11-17 00:00:00,0,,
383,L I C Housing Finance Ltd.,2016-12-30 00:00:00,559.45,504663000,3,2016,35279.3,30494.6,4992.6,2017-01-17 09:36:15,1,,
384,Canara Bank,2016-12-30 00:00:00,255.67,542991054,3,2016,102876.7,117574.9,3218.8,2017-01-20 00:00:00,0,,
385,H D F C Bank Ltd.,2016-12-30 00:00:00,602.1,2555374117,3,2016,176056,168829.4,38653.3,2017-01-24 14:14:39,0,,
386,Housing Development Finance Corpn. Ltd.,2016-12-30 00:00:00,1262.45,1585088925,3,2016,81337.8,64474,17012.1,2017-01-24 14:14:39,0,,
