,company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,stck_ann,next_day
47,Canara Bank,2008-09-30 00:00:00,183.59,410000000,2,2008,41092,39185.4,5294.3,2008-10-20 12:29:05,0,,
48,L I C Housing Finance Ltd.,2008-09-30 00:00:00,57.23,84932600,2,2008,7046.8,5788.5,1350.7,2008-10-21 13:54:58,0,,
49,Bajaj Finserv Ltd.,2008-09-30 00:00:00,37.73,144683510,2,2008,315.2,177,142.3,2008-10-22 00:00:00,0,,
50,Max Financial Services Ltd.,2008-09-30 00:00:00,165.85,222022720,2,2008,1215.8,1098.8,117.3,2008-10-22 15:25:33,0,,
51,Bank Of Baroda,2008-09-30 00:00:00,59.51,364266500,2,2008,35509.8,36316.1,3952.9,2008-10-25 00:00:00,0,,
52,State Bank Of India,2008-09-30 00:00:00,146.57,634880222,2,2008,155665,156499.2,22597.2,2008-10-27 09:55:27,0,,
53,I C I C I Bank Ltd.,2008-09-30 00:00:00,97.25,1113249042,2,2008,78349.8,86981,10142.1,2008-10-27 12:41:24,0,,
54,Kotak Mahindra Bank Ltd.,2008-06-30 00:00:00,115.3,345047721,1,2008,7124.7,7410.7,545.3,2008-10-31 14:41:16,0,,
55,H D F C Bank Ltd.,2008-12-31 00:00:00,99.76,425144428,3,2008,44685,47861.5,6217.4,2009-01-14 13:41:42,1,,
56,Housing Development Finance Corpn. Ltd.,2008-12-31 00:00:00,297.51,284448366,3,2008,29196.2,23783.6,5468.3,2009-01-14 13:41:42,0,,
57,Bajaj Finserv Ltd.,2008-12-31 00:00:00,14.59,144683510,3,2008,290.9,184.5,110.5,2009-01-15 00:00:00,0,,
58,L I C Housing Finance Ltd.,2008-12-31 00:00:00,46.11,84932600,3,2008,7650.8,6323.4,1343.4,2009-01-20 13:53:51,0,,
59,Kotak Mahindra Bank Ltd.,2008-09-30 00:00:00,138.7,345341251,2,2008,7461.3,7589,478.7,2009-01-22 15:05:02,0,,
60,Canara Bank,2008-12-31 00:00:00,182.67,410000000,3,2008,46254.4,46814,7015,2009-01-23 11:35:35,0,,
61,State Bank Of India,2008-12-31 00:00:00,128.83,634880222,3,2008,170803.4,178274.8,24784.2,2009-01-24 13:18:28,0,,
62,I C I C I Bank Ltd.,2008-12-31 00:00:00,81.52,1113250642,3,2008,78360.8,90784.7,12721.5,2009-01-24 15:22:34,0,,
63,Max Financial Services Ltd.,2008-12-31 00:00:00,115.75,222030310,3,2008,900.4,875.4,32.6,2009-01-28 13:48:24,0,,
64,Bank Of Baroda,2008-12-31 00:00:00,56.09,364266500,3,2008,41080,43151.9,7083.7,2009-01-29 00:00:00,0,,
65,L I C Housing Finance Ltd.,2009-03-31 00:00:00,44.91,84932600,4,2008,7904.8,6485.3,1575.6,2009-04-23 14:00:48,1,,
66,Housing Development Finance Corpn. Ltd.,2009-03-31 00:00:00,282.24,284453910,4,2008,31457.7,24202.4,7333.7,2009-04-23 17:49:46,0,,
67,H D F C Bank Ltd.,2009-03-31 00:00:00,96.79,425384109,4,2008,42508.3,47346.4,6308.8,2009-04-23 17:49:46,0,,
68,I C I C I Bank Ltd.,2009-03-31 00:00:00,60.47,1113250642,4,2008,75296.9,84596,7437.6,2009-04-25 15:43:50,0,,
69,Bank Of Baroda,2009-03-31 00:00:00,46.91,364266500,4,2008,41387.8,42397.2,7526.9,2009-04-27 00:00:00,0,,
70,Canara Bank,2009-03-31 00:00:00,161.37,410000000,4,2008,46538.8,47815.4,7188.1,2009-04-29 13:40:29,0,,
71,Kotak Mahindra Bank Ltd.,2008-12-31 00:00:00,89.33,345473542,3,2008,8035.1,8414.1,711.3,2009-05-12 15:19:18,0,,
72,State Bank Of India,2009-03-31 00:00:00,106.66,634880222,4,2008,173423.9,193183,27423.1,2009-05-14 11:16:37,0,,
73,Bajaj Finserv Ltd.,2009-03-31 00:00:00,16.5,144683510,4,2008,246.2,186.6,64.2,2009-05-20 00:00:00,0,,
74,Max Financial Services Ltd.,2009-03-31 00:00:00,96.65,222030310,4,2008,909.6,958.2,-67.6,2009-06-26 14:34:52,0,,
75,Housing Development Finance Corpn. Ltd.,2009-06-30 00:00:00,469.08,284560354,1,2009,27928.9,22841.5,5649.2,2009-07-14 12:15:58,1,,
76,H D F C Bank Ltd.,2009-06-30 00:00:00,149.18,426183266,1,2009,40931,45306.4,6061.1,2009-07-14 12:15:58,0,,
77,Bajaj Finserv Ltd.,2009-06-30 00:00:00,38.45,144683510,1,2009,324.4,233.4,93.9,2009-07-15 00:00:00,0,,
78,L I C Housing Finance Ltd.,2009-06-30 00:00:00,123.74,94932600,1,2009,7801.9,6580.2,1238.4,2009-07-21 17:05:33,0,,
79,Canara Bank,2009-06-30 00:00:00,255.28,410000000,1,2009,45583.8,44766.2,5553.3,2009-07-22 12:41:41,0,,
80,I C I C I Bank Ltd.,2009-06-30 00:00:00,131.27,1113324087,1,2009,71334.4,83451,8782.2,2009-07-25 14:44:36,0,,
81,Bank Of Baroda,2009-06-30 00:00:00,89.06,364266500,1,2009,40321.1,40887.3,6853.8,2009-07-27 00:00:00,0,,
82,Kotak Mahindra Bank Ltd.,2009-03-31 00:00:00,70.74,345668859,4,2008,8030.2,8171.4,1025.7,2009-07-28 11:48:50,0,,
83,State Bank Of India,2009-06-30 00:00:00,174.21,634880222,1,2009,174727.6,187111.4,23303.7,2009-07-30 12:54:09,0,,
84,Max Financial Services Ltd.,2009-06-30 00:00:00,212.05,232356621,1,2009,838.3,870.5,2.1,2009-07-30 14:30:15,0,,
85,Bajaj Finserv Ltd.,2009-09-30 00:00:00,27.31,144683510,2,2009,372.1,240.6,134.9,2009-10-14 00:00:00,1,,
86,Housing Development Finance Corpn. Ltd.,2009-09-30 00:00:00,555.36,284905462,2,2009,27835.4,21862.9,6639.4,2009-10-14 13:30:49,0,,
87,H D F C Bank Ltd.,2009-09-30 00:00:00,164.23,427357524,2,2009,39918.9,43579.7,6874.6,2009-10-14 13:30:49,0,,
88,Canara Bank,2009-09-30 00:00:00,312.96,410000000,2,2009,47091.6,46915.8,9105.2,2009-10-26 12:40:15,0,,
89,Kotak Mahindra Bank Ltd.,2009-06-30 00:00:00,158.03,346298272,1,2009,7673,8036.2,903.1,2009-10-27 13:34:04,0,,
90,Bank Of Baroda,2009-09-30 00:00:00,96.48,364266500,2,2009,41354.2,40965.7,6341.8,2009-10-28 00:00:00,0,,
91,L I C Housing Finance Ltd.,2009-09-30 00:00:00,154.3,94932600,2,2009,8348.9,7095.6,1712.5,2009-10-29 13:38:44,0,,
92,I C I C I Bank Ltd.,2009-09-30 00:00:00,164.51,1113564145,2,2009,66569.4,74406,10401.3,2009-10-30 13:30:44,0,,
93,Max Financial Services Ltd.,2009-09-30 00:00:00,184.8,232356621,2,2009,904.9,868.9,19.7,2009-10-30 16:46:17,0,,
94,State Bank Of India,2009-09-30 00:00:00,219.57,634880222,2,2009,177758.8,188110,24900.4,2009-10-31 12:59:18,0,,
95,Bajaj Finserv Ltd.,2009-12-31 00:00:00,33.94,144683510,3,2009,309.3,280.7,40.5,2010-01-12 00:00:00,1,,
96,H D F C Bank Ltd.,2009-12-31 00:00:00,170.04,455236564,3,2009,40348.1,41153.9,8185,2010-01-15 13:14:25,0,,
97,Housing Development Finance Corpn. Ltd.,2009-12-31 00:00:00,535.57,285855267,3,2009,27055.7,20909.6,6712.5,2010-01-15 13:14:25,0,,
98,Kotak Mahindra Bank Ltd.,2009-09-30 00:00:00,194.03,346777379,2,2009,7751.5,7629.3,1259.1,2010-01-21 13:36:00,0,,
99,I C I C I Bank Ltd.,2009-12-31 00:00:00,159.22,1114131968,3,2009,60895.7,66616.5,11010.6,2010-01-21 14:29:00,0,,
100,L I C Housing Finance Ltd.,2009-12-31 00:00:00,160.71,94932600,3,2009,8782.2,7269.1,1535.8,2010-01-25 14:03:06,0,,
101,State Bank Of India,2009-12-31 00:00:00,226.94,634880222,3,2009,177796.9,186663.5,24790.5,2010-01-25 16:35:14,0,,
102,Bank Of Baroda,2009-12-31 00:00:00,102.26,364266500,3,2009,41769.7,40041.3,8324.9,2010-01-27 00:00:00,0,,
103,Canara Bank,2009-12-31 00:00:00,380.07,410000000,3,2009,46878.1,44165.2,10525.8,2010-01-28 12:10:19,0,,
104,Max Financial Services Ltd.,2009-12-31 00:00:00,221.1,232356621,3,2009,875.5,893.3,-4,2010-01-29 15:52:51,0,,
105,I C I C I Bank Ltd.,2010-03-31 00:00:00,173.22,1114845314,4,2009,58269.8,67122.5,10055.7,2010-04-24 15:18:21,1,,
106,H D F C Bank Ltd.,2010-03-31 00:00:00,193.25,457743272,4,2009,40531.1,41672.5,8366.2,2010-04-24 15:21:54,0,,
107,Housing Development Finance Corpn. Ltd.,2010-03-31 00:00:00,542.57,287110222,4,2009,28468.8,19729.4,9263.8,2010-04-24 15:21:54,0,,
108,Bank Of Baroda,2010-03-31 00:00:00,127.85,364266500,4,2009,43538.4,42959,9062.8,2010-04-28 00:00:00,0,,
109,Canara Bank,2010-03-31 00:00:00,399.14,410000000,4,2009,47966.2,50036.2,5031,2010-04-28 12:19:55,0,,
110,L I C Housing Finance Ltd.,2010-03-31 00:00:00,174.4,94932600,4,2009,9624.7,7668.6,2135.1,2010-04-28 13:08:23,0,,
111,Bajaj Finserv Ltd.,2010-03-31 00:00:00,32.86,144683510,4,2009,265.2,249.4,24.6,2010-05-11 00:00:00,0,,
112,Kotak Mahindra Bank Ltd.,2009-12-31 00:00:00,200.53,347695925,3,2009,8324.1,8264.5,1423.8,2010-05-11 14:33:49,0,,
113,State Bank Of India,2010-03-31 00:00:00,207.9,634882644,4,2009,179655.9,206075.2,18666,2010-05-14 14:03:55,0,,
114,Max Financial Services Ltd.,2010-03-31 00:00:00,207.35,232374733,4,2009,963.6,968.9,-16.1,2010-05-31 11:21:29,0,,
115,L I C Housing Finance Ltd.,2010-06-30 00:00:00,199.5,94932600,1,2010,10124.5,8029.1,2120.2,2010-07-15 14:02:35,1,,
116,H D F C Bank Ltd.,2010-06-30 00:00:00,191.47,459690703,1,2010,44197.1,45988.6,8117.1,2010-07-19 15:27:38,0,,
117,Housing Development Finance Corpn. Ltd.,2010-06-30 00:00:00,588.2,290951303,1,2010,27971.3,21073.6,6945.9,2010-07-19 15:27:38,0,,
118,Canara Bank,2010-06-30 00:00:00,436.59,410000000,1,2010,51608.8,48814.8,10133.7,2010-07-20 11:05:51,0,,
119,Bajaj Finserv Ltd.,2010-06-30 00:00:00,42.8,144683510,1,2010,290.3,174,124.2,2010-07-21 00:00:00,0,,
120,Kotak Mahindra Bank Ltd.,2010-03-31 00:00:00,187.26,348141477,4,2009,8807.5,9297.5,2025,2010-07-21 11:36:47,0,,
121,Bank Of Baroda,2010-06-30 00:00:00,140.39,364266500,1,2010,47269.6,44850.4,8591.6,2010-07-29 00:00:00,0,,
122,Max Financial Services Ltd.,2010-06-30 00:00:00,153.4,232374733,1,2010,914.5,1244.2,-28.3,2010-07-30 18:00:31,0,,
123,I C I C I Bank Ltd.,2010-06-30 00:00:00,156.73,1115458683,1,2010,58125.4,64670.7,10259.8,2010-07-31 15:05:24,0,,
124,State Bank Of India,2010-06-30 00:00:00,230.21,634883509,1,2010,184521.2,192278.8,29142,2010-08-12 12:50:17,0,,
125,L I C Housing Finance Ltd.,2010-09-30 00:00:00,287.37,94932600,2,2010,11002.2,8732.4,2342.1,2010-10-14 12:32:59,1,,
126,Bajaj Finserv Ltd.,2010-09-30 00:00:00,52.27,144683510,2,2010,476.6,246.4,238.8,2010-10-18 00:00:00,0,,
127,H D F C Bank Ltd.,2010-09-30 00:00:00,248.08,462604850,2,2010,48099.9,48585.6,9121.4,2010-10-19 16:56:24,0,,
128,Housing Development Finance Corpn. Ltd.,2010-09-30 00:00:00,730,1460129450,2,2010,29065.5,21626.8,8075.4,2010-10-19 16:56:24,0,,
129,Kotak Mahindra Bank Ltd.,2010-06-30 00:00:00,192.7,348594399,1,2010,8974.2,8731.4,1869,2010-10-20 13:18:42,0,,
130,Canara Bank,2010-09-30 00:00:00,566.73,410000000,2,2010,55464.8,50691.8,10078.8,2010-10-20 14:32:06,0,,
131,Max Financial Services Ltd.,2010-09-30 00:00:00,169.5,232484410,2,2010,1085.5,1305.8,-189.5,2010-10-27 18:17:01,0,,
132,Bank Of Baroda,2010-09-30 00:00:00,174.56,364266500,2,2010,51586.6,48206.6,10193,2010-10-28 00:00:00,0,,
133,I C I C I Bank Ltd.,2010-09-30 00:00:00,201.88,1147919537,2,2010,63091,66507.6,12362.7,2010-10-29 14:09:48,0,,
134,State Bank Of India,2010-09-30 00:00:00,323.32,634998115,2,2010,198080.9,213119.3,25013.7,2010-11-08 18:04:15,0,,
135,Bajaj Finserv Ltd.,2010-12-31 00:00:00,45.58,144683510,3,2010,242.6,156,111.5,2011-01-18 00:00:00,1,,
136,L I C Housing Finance Ltd.,2010-12-31 00:00:00,195.55,474663000,3,2010,12131.2,11409.3,2134.9,2011-01-19 16:22:38,0,,
137,Kotak Mahindra Bank Ltd.,2010-09-30 00:00:00,237.95,733406704,2,2010,9895.8,9655.9,1947,2011-01-20 13:32:40,0,,
138,State Bank Of India,2010-12-31 00:00:00,281.11,634998115,3,2010,214127.9,218986.7,28280.6,2011-01-22 13:28:27,0,,
139,I C I C I Bank Ltd.,2010-12-31 00:00:00,208.12,1151422189,3,2010,66959.6,70077.3,14370.2,2011-01-24 13:07:35,0,,
140,H D F C Bank Ltd.,2010-12-31 00:00:00,234.65,464329961,3,2010,52299.6,52699.5,10878.3,2011-01-27 17:07:26,0,,
141,Housing Development Finance Corpn. Ltd.,2010-12-31 00:00:00,727.95,1464363840,3,2010,31489.5,24301.6,8908.8,2011-01-27 17:07:26,0,,
142,Bank Of Baroda,2010-12-31 00:00:00,179.3,364266500,3,2010,56661.5,52734.2,10688.8,2011-01-28 00:00:00,0,,
143,Canara Bank,2010-12-31 00:00:00,642.36,410000000,3,2010,58781.5,53388.2,11057.3,2011-01-31 12:51:59,0,,
144,Max Financial Services Ltd.,2010-12-31 00:00:00,147.45,232484410,3,2010,1253.4,1325.4,-68.5,2011-02-11 14:33:55,0,,
145,Housing Development Finance Corpn. Ltd.,2011-03-31 00:00:00,698.9,1466886690,4,2010,36405.6,26429.1,11419.5,2011-04-18 17:14:44,1,,
146,H D F C Bank Ltd.,2011-03-31 00:00:00,234.29,465225684,4,2010,54685.5,56096,11147.1,2011-04-18 17:14:44,0,,
147,Bank Of Baroda,2011-03-31 00:00:00,192.63,391546079,4,2010,63341.6,58743,12943.5,2011-04-28 00:00:00,0,,
148,I C I C I Bank Ltd.,2011-03-31 00:00:00,202.32,1151772372,4,2010,71564.5,73450.1,14521.1,2011-04-28 12:51:53,0,,
149,L I C Housing Finance Ltd.,2011-03-31 00:00:00,225.45,474663000,4,2010,13318.4,10771.5,3147.7,2011-04-28 13:38:10,0,,
150,Canara Bank,2011-03-31 00:00:00,609.04,443000000,4,2010,63887.2,64516.9,8989,2011-05-05 12:39:25,0,,
151,Kotak Mahindra Bank Ltd.,2010-12-31 00:00:00,226.22,736301330,3,2010,11048.5,11165.4,1878.7,2011-05-05 13:45:57,0,,
152,Bajaj Finserv Ltd.,2011-03-31 00:00:00,51.55,144683510,4,2010,188.6,191.5,1408.9,2011-05-17 00:00:00,0,,
153,State Bank Of India,2011-03-31 00:00:00,276.79,634998991,4,2010,217213.5,265159.6,208.8,2011-05-17 13:02:43,0,,
154,Max Financial Services Ltd.,2011-03-31 00:00:00,159.65,232484410,4,2010,1291.6,1452.7,-134.7,2011-06-03 13:22:44,0,,
155,Bajaj Finserv Ltd.,2011-06-30 00:00:00,50.41,144683510,1,2011,257,153.4,122.1,2011-07-13 00:00:00,1,,
156,H D F C Bank Ltd.,2011-06-30 00:00:00,250.26,466771136,1,2011,59779.7,60130.2,10849.8,2011-07-19 13:36:19,0,,
157,Housing Development Finance Corpn. Ltd.,2011-06-30 00:00:00,703.85,1469930700,1,2011,38006.7,29770.7,8445.3,2011-07-19 13:36:19,0,,
158,L I C Housing Finance Ltd.,2011-06-30 00:00:00,241.95,474663000,1,2011,13879.3,11616.8,2565,2011-07-20 13:46:34,0,,
159,Kotak Mahindra Bank Ltd.,2011-03-31 00:00:00,228.43,736871504,4,2010,11979.1,12040.2,2487,2011-07-21 12:24:55,0,,
160,Bank Of Baroda,2011-06-30 00:00:00,174.38,391546079,1,2011,66317.7,62397.9,10328.5,2011-07-27 00:00:00,0,,
161,Canara Bank,2011-06-30 00:00:00,509.97,443000000,1,2011,71565.7,69817.4,7258.5,2011-07-27 12:51:12,0,,
162,I C I C I Bank Ltd.,2011-06-30 00:00:00,198.75,1152129421,1,2011,76185.2,79292.1,13322,2011-07-29 13:33:25,0,,
163,Max Financial Services Ltd.,2011-06-30 00:00:00,183.3,256564110,1,2011,1892.3,2022.3,-17.5,2011-08-12 17:52:10,0,,
164,State Bank Of India,2011-06-30 00:00:00,240.6,634998991,1,2011,241974.4,261481.2,15835.5,2011-08-13 13:33:26,0,,
165,Bajaj Finserv Ltd.,2011-09-30 00:00:00,51.58,144683510,2,2011,617.1,217.1,420.7,2011-10-19 00:00:00,1,,
166,Housing Development Finance Corpn. Ltd.,2011-09-30 00:00:00,639.25,1472215960,2,2011,40770.5,31984.4,9707,2011-10-19 14:02:17,0,,
167,H D F C Bank Ltd.,2011-09-30 00:00:00,233.63,2338312130,2,2011,67177,67300.3,11993.5,2011-10-19 14:02:17,0,,
168,Kotak Mahindra Bank Ltd.,2011-06-30 00:00:00,240.1,737810369,1,2011,13297.8,13064.1,2520.3,2011-10-25 14:39:41,0,,
169,Bank Of Baroda,2011-09-30 00:00:00,152.77,391546079,2,2011,72514.4,68197,11660.8,2011-10-31 00:00:00,0,,
170,Canara Bank,2011-09-30 00:00:00,431.63,443000000,2,2011,76144.7,75850.5,8522.2,2011-10-31 12:49:44,0,,
171,I C I C I Bank Ltd.,2011-09-30 00:00:00,159.15,1152412079,2,2011,81576.2,83939.8,15031.9,2011-10-31 13:46:09,0,,
172,State Bank Of India,2011-09-30 00:00:00,191.11,634999595,2,2011,259670.9,265838.9,28104.3,2011-11-09 11:54:25,0,,
173,L I C Housing Finance Ltd.,2011-09-30 00:00:00,210.9,474663000,2,2011,14928,14169.8,983.9,2011-11-14 12:22:42,0,,
174,Max Financial Services Ltd.,2011-09-30 00:00:00,188.2,264569110,2,2011,1862.4,1993.8,-103.7,2011-11-15 14:57:00,0,,
175,Bajaj Finserv Ltd.,2011-12-30 00:00:00,42.34,144683510,3,2011,283.8,163.3,144.7,2012-01-18 00:00:00,1,,
176,H D F C Bank Ltd.,2011-12-30 00:00:00,213.53,2341315020,3,2011,72026.4,71929.8,14296.6,2012-01-19 14:08:36,0,,
177,Housing Development Finance Corpn. Ltd.,2011-12-30 00:00:00,649.45,1474171910,3,2011,43793.4,34912.6,9812.5,2012-01-19 14:08:36,0,,
178,Kotak Mahindra Bank Ltd.,2011-09-30 00:00:00,229.82,738647472,2,2011,14646.5,14351,2600.1,2012-01-23 14:53:06,0,,
179,Bank Of Baroda,2011-12-30 00:00:00,132.17,391546079,3,2011,76719.9,75314.7,12898.5,2012-01-25 00:00:00,0,,
180,Canara Bank,2011-12-30 00:00:00,353.67,443000000,3,2011,78120.8,76988.9,8755.6,2012-01-27 14:12:38,0,,
181,L I C Housing Finance Ltd.,2011-12-30 00:00:00,221.6,474663000,3,2011,15718.2,13665.3,3056.9,2012-01-30 14:27:35,0,,
182,I C I C I Bank Ltd.,2011-12-30 00:00:00,124.47,1152564657,3,2011,85918.7,87556.3,17281,2012-01-31 13:42:02,0,,
183,State Bank Of India,2011-12-30 00:00:00,161.95,634999595,3,2011,277143.5,265243.3,32630.4,2012-02-13 14:18:16,0,,
184,Max Financial Services Ltd.,2011-12-30 00:00:00,148.25,264569110,3,2011,1770.7,1778.6,-19.1,2012-02-15 10:49:10,0,,
185,Housing Development Finance Corpn. Ltd.,2012-03-30 00:00:00,673.6,1476970010,4,2011,48056.9,35648.9,13261.4,2012-04-18 13:17:14,1,,
186,H D F C Bank Ltd.,2012-03-30 00:00:00,260.02,2346688270,4,2011,75610.5,77368.5,14530.8,2012-04-18 13:17:14,0,,
187,I C I C I Bank Ltd.,2012-03-30 00:00:00,161.32,1152714442,4,2011,91746.4,95013.4,19017.6,2012-04-27 13:20:31,0,,
188,Bank Of Baroda,2012-03-30 00:00:00,158.73,411123383,4,2011,81185.2,78198,15181.8,2012-05-04 00:00:00,0,,
189,L I C Housing Finance Ltd.,2012-03-30 00:00:00,263.05,504663000,4,2011,16623.1,14378.1,2536,2012-05-04 11:12:37,0,,
190,Kotak Mahindra Bank Ltd.,2011-12-30 00:00:00,216.13,739567213,3,2011,16409.8,16480,2760.8,2012-05-08 14:07:45,0,,
191,Canara Bank,2012-03-30 00:00:00,460.71,443000000,4,2011,82675.1,82076.8,8290.9,2012-05-10 14:31:29,0,,
192,Bajaj Finserv Ltd.,2012-03-30 00:00:00,60.07,144683510,4,2011,199.8,142.3,78.2,2012-05-16 00:00:00,0,,
193,State Bank Of India,2012-03-30 00:00:00,209.5,671044838,4,2011,285827.8,299092.7,40502.7,2012-05-18 12:28:07,0,,
194,Max Financial Services Ltd.,2012-03-30 00:00:00,168.6,264569110,4,2011,1944.3,1923.3,-13.9,2012-06-05 15:00:44,0,,
195,H D F C Bank Ltd.,2012-06-29 00:00:00,281.75,2355919375,1,2012,81757.4,84077.8,14173.9,2012-07-13 18:40:47,1,,
196,Housing Development Finance Corpn. Ltd.,2012-06-29 00:00:00,654.45,1488633330,1,2012,49147.1,39404,10019.1,2012-07-13 18:40:47,0,,
197,Bajaj Finserv Ltd.,2012-06-29 00:00:00,67.08,144683510,1,2012,250,175.5,100.2,2012-07-17 00:00:00,0,,
198,Kotak Mahindra Bank Ltd.,2012-03-30 00:00:00,271.23,740689510,4,2011,17448.3,17100.9,2969.3,2012-07-19 12:01:01,0,,
199,Canara Bank,2012-06-29 00:00:00,401.13,443000000,1,2012,84728.6,83902.3,7752.4,2012-07-24 12:51:53,0,,
200,L I C Housing Finance Ltd.,2012-06-29 00:00:00,269.15,504663000,1,2012,17464.5,15395.5,2277.5,2012-07-24 13:42:06,0,,
201,I C I C I Bank Ltd.,2012-06-29 00:00:00,163.56,1152874294,1,2012,95456.5,96105.2,18150.5,2012-07-27 12:32:16,0,,
202,Bank Of Baroda,2012-06-29 00:00:00,146.5,411123383,1,2012,85576.1,81895.5,11388.6,2012-07-30 00:00:00,0,,
203,State Bank Of India,2012-06-29 00:00:00,215.92,671044838,1,2012,289224.4,286639.3,37515.6,2012-08-10 12:59:07,0,,
204,Max Financial Services Ltd.,2012-06-29 00:00:00,192.15,265381162,1,2012,2073.4,3684.7,5365.4,2012-08-13 10:46:27,0,,
205,H D F C Bank Ltd.,2012-09-28 00:00:00,314.35,2361698240,2,2012,86748.2,85866.7,15599.8,2012-10-12 13:48:03,1,,
206,Housing Development Finance Corpn. Ltd.,2012-09-28 00:00:00,772.9,1538893440,2,2012,51753.4,41260.8,11511.2,2012-10-12 13:48:03,0,,
207,Bajaj Finserv Ltd.,2012-09-28 00:00:00,87.08,159122352,2,2012,669.4,223.9,469.7,2012-10-19 00:00:00,0,,
208,Bank Of Baroda,2012-09-28 00:00:00,159.71,411123383,2,2012,87225.5,82494.7,13013.9,2012-10-22 00:00:00,0,,
209,Kotak Mahindra Bank Ltd.,2012-06-29 00:00:00,296.13,742475882,1,2012,18158.3,17928,2824.5,2012-10-25 12:52:06,0,,
210,I C I C I Bank Ltd.,2012-09-28 00:00:00,192.23,1153027642,2,2012,100263.3,101131.9,19561.1,2012-10-26 12:46:30,0,,
211,L I C Housing Finance Ltd.,2012-09-28 00:00:00,281.8,504663000,2,2012,18400.4,16188.1,2430.6,2012-10-31 13:17:21,0,,
212,Canara Bank,2012-09-28 00:00:00,419.37,443000000,2,2012,85955.4,85426.4,6609.7,2012-11-06 13:47:09,0,,
213,State Bank Of India,2012-09-28 00:00:00,223.79,671044838,2,2012,296068.4,292953.3,36581.4,2012-11-09 14:05:59,0,,
214,Max Financial Services Ltd.,2012-09-28 00:00:00,224.1,265470839,2,2012,1828,2085,-174.3,2012-11-10 14:38:54,0,,
215,Bajaj Finserv Ltd.,2012-12-31 00:00:00,90.19,159122352,3,2012,249.4,167.8,111.3,2013-01-15 00:00:00,1,,
216,H D F C Bank Ltd.,2012-12-31 00:00:00,339.4,2368065465,3,2012,88904,89590.6,18590.7,2013-01-18 13:40:14,0,,
217,Housing Development Finance Corpn. Ltd.,2012-12-31 00:00:00,828.1,1540984385,3,2012,51457,41103,11401,2013-01-18 13:40:14,0,,
218,Kotak Mahindra Bank Ltd.,2012-09-28 00:00:00,323.95,743307494,2,2012,19237,19027.7,2803.8,2013-01-22 13:10:34,0,,
219,I C I C I Bank Ltd.,2012-12-31 00:00:00,206.78,1153303032,3,2012,101382.9,101026.7,22502.4,2013-01-31 12:43:54,0,,
220,Bank Of Baroda,2012-12-31 00:00:00,173.39,411123383,3,2012,88449.2,86738.9,10116.2,2013-02-04 00:00:00,0,,
221,Canara Bank,2012-12-31 00:00:00,481.96,443000000,3,2012,85444.8,86797.8,7105.1,2013-02-08 13:32:48,0,,
222,State Bank Of India,2012-12-31 00:00:00,238.38,671045274,3,2012,303653.8,305960.5,33960.6,2013-02-14 17:52:07,0,,
223,L I C Housing Finance Ltd.,2012-12-31 00:00:00,291.35,504663000,3,2012,19346.9,17187.2,2362.5,2013-02-21 12:39:36,0,,
224,Housing Development Finance Corpn. Ltd.,2013-03-28 00:00:00,825.75,1546347255,4,2012,55612,41225,15552.1,2013-04-26 14:21:04,1,,
225,H D F C Bank Ltd.,2013-03-28 00:00:00,312.05,2379419030,4,2012,93239.1,92377,18898.4,2013-04-26 14:21:04,0,,
226,L I C Housing Finance Ltd.,2013-03-28 00:00:00,224.95,504663000,4,2012,20547.4,17620.8,3161.6,2013-05-08 16:57:02,0,,
227,Kotak Mahindra Bank Ltd.,2012-12-31 00:00:00,324.8,744193105,3,2012,20945.8,20396.6,3616.8,2013-05-09 10:01:02,0,,
228,Canara Bank,2013-03-28 00:00:00,373.95,443000000,4,2012,84650.5,87461.9,7253.8,2013-05-09 15:45:03,0,,
229,I C I C I Bank Ltd.,2013-03-28 00:00:00,190.06,1153581715,4,2012,103653.3,102694.5,23040.7,2013-05-15 17:09:02,0,,
230,State Bank Of India,2013-03-28 00:00:00,207.28,684033971,4,2012,307841.9,330316.5,32992.2,2013-05-29 11:25:03,0,,
231,Max Financial Services Ltd.,2013-03-28 00:00:00,223.9,265520289,4,2012,1811.8,2133.6,157.4,2013-06-14 19:01:04,0,,
232,Bank Of Baroda,2013-03-28 00:00:00,135.56,421256303,4,2012,90715.7,97161.7,10288.5,2013-06-28 00:00:00,0,,
233,Bajaj Finserv Ltd.,2013-06-28 00:00:00,64.27,159122352,1,2013,284.5,204.6,111.1,2013-07-18 00:00:00,1,,
234,Housing Development Finance Corpn. Ltd.,2013-06-28 00:00:00,872.9,1554131425,1,2013,55569.4,43918.4,11731,2013-07-18 10:13:02,0,,
235,H D F C Bank Ltd.,2013-06-28 00:00:00,334.25,2388142230,1,2013,96629.6,97447,18438.6,2013-07-18 10:13:02,0,,
236,Kotak Mahindra Bank Ltd.,2013-03-28 00:00:00,325.7,746374517,4,2012,22083.8,21360.2,4362.1,2013-07-22 17:17:01,0,,
237,Canara Bank,2013-06-28 00:00:00,350.5,443000000,1,2013,92695.8,97158.1,7920.7,2013-08-05 12:45:02,0,,
238,I C I C I Bank Ltd.,2013-06-28 00:00:00,194.5,1154054737,1,2013,104206.8,106307.6,22742.1,2013-08-05 16:21:02,0,,
